,3984502,1194867911,PARTNERS IN FAMILY HEALTH,1550 RODNEY RD,,YORK,PA,17408,York,717 846-8791,717 845-1093
,3984514,1700928868,PREMIER MEDICAL ASSOC INFINITY,1000 INFINITY DR,,MONROEVILLE,PA,15146,Allegheny,724 733-5151,724 327-7221
,3984526,1164564985,UPMC DOWNTOWN,339 6TH AVE,,PITTSBURGH,PA,15222,Allegheny,412 261-1257,
,3984538,1891837951,VALLEY FAMILY MEDICINE - UPMC - NATRONA HEIGHTS,1604 BURTNER RD,STE 2300,NATIONAL HEIGHTS,PA,15065,Allegheny,724 226-1400,724 226-1460
CVS PHARMACY INC,3984552,1013014513,CVS PHARMACY,3 S PENNELL RD,,MEDIA,PA,19063,Delaware,610 565-7720,
,3984576,1770625741,UNITED PHYSICIANS,305 7TH ST,,NEW KENSINGTON,PA,15068,Westmoreland,724 339-3900,724 339-3750
,3984588,1538201207,GREATER PITTSBURGH MEDICAL ASSOCIATES - UPMC - LAWRENCEVILLE,193 43RD ST,,PITTSBURGH,PA,15201,Allegheny,412 621-5227,412 681-4524
,3984603,1891837555,COMMUNITY MEDICAL HARRISBURG,3601 N PROGRESS AVE,,HARRISBURG,PA,17110,Dauphin,717 652-7266,717 657-9734
,3984627,1205978988,BHATTARAHALLY LINGANNA MD,1232 S MILL ST,,NEW CASTLE,PA,16101,Lawrence,724 654-2719,724 654-2404
,3984639,1073655759,FAMILY HEALTH CARE RHC,202 BEACHLEY ST,,MYERSDALE,PA,15552,Somerset,814 634-5935,814 634-9140
BROCKIE HEALTHCARE INC,3984653,1629133046,BROCKIE PHARMATECH,100 HOMEWOOD WAY,,HANOVER,PA,17331,York,717 632-5000,717 637-5020
,3984665,1821130535,CHI PORTAGE HEALTH CENTER,3670 PORTAGE ST,STE 105,PORTAGE,PA,15946,Cambria,814 736-9614,814 736-9783
WALGREENS DRUG STORE,3984677,1790790699,WALGREENS #9345,10707 FRANKSTOWN RD,,PITTSBURGH,PA,15235,Allegheny,412 247-7580,412 247-7586
WALMART STORES INC,3984689,1881611036,WAL-MART PHARMACY 10-5239,567 ROUTE 100 NORTH,,BECHTELSVILLE,PA,19505,Berks,610 367-1052,
TARGET CORPORATION,3984691,1326060062,TARGET PHARMACY,2385 COVERED BRIDGE DR,,LANCASTER,PA,17602,Lancaster,717 390-9925,717 390-9925
TARGET CORPORATION,3984704,1235151978,TARGET PHARMACY,2701 CASTOR AVE,,PHILADELPHIA,PA,19134,Philadelphia,215 305-9051,215 305-9051
CVS PHARMACY INC,3984716,1184728974,CVS PHARMACY,3015 LINCOLN HWY,,THORNDALE,PA,19372,Chester,610 380-7180,
NELLS INC,3984754,1043302201,SHURFINE PHARMACY WALNUT BOTTOM,950 WALNUT BOTTOM RD,,CARLISLE,PA,17015,Cumberland,717 243-3468,717 243-4610
,3984766,1114069820,CHI HIGHLANDS FAMILY MEDICINE,4324 GLADES PIKE,,SOMERSET,PA,15501,Somerset,814 445-4585,814 443-2642
,3984792,1619019726,RUSSELLTON MEDICAL GROUP - UPMC - NATRONA HEIGHTS,1604 BURTNER RD,STE 2100,NATRONA HEIGHTS,PA,15065,Allegheny,724 230-3099,724 230-3098
WALGREENS DRUG STORE,3984805,1609881507,WALGREENS #9677,2101 S QUEEN ST,,YORK,PA,17403,York,717 843-0104,717 843-0865
,3984817,1962544957,BLOOMFIELD MEDICAL,5140 LIBERTY AVE,,PITTSBURGH,PA,15224,Allegheny,412 682-4567,412 682-4571
,3984829,1245372895,CHI CRESSON FAMILY PRACTICE,225 KEYSTONE AVE,,CRESSON,PA,16630,Cambria,814 886-4635,814 886-5470
,3984831,1780726331,CHI EBANDJIEFF HEALTH CENTER,1060 LLOYD ST,,NANTY GLO,PA,15943,Cambria,814 749-8624,814 749-8248
TPN,3984843,1841330396,NEW CARE PHARMACY,711 BUSTLETON PK,,FEASTERVILLE,PA,19053,Bucks,215 357-7737,215 357-4797
RITE AID CORPORATION,3984855,1205925963,RITE AID PHARMACY 07781,20480 ROUTE 19,,CRANBERRY TWP,PA,16066,Butler,724 778-8989,724 778-8995
WALGREENS DRUG STORE,3984867,1518972413,WALGREENS #9591,2350 E MARKET ST,,YORK,PA,17402,York,717 840-3846,717 840-3907
STOP AND SHOP PHARMACY,3984881,1134151152,MARTINS PHARMACY,800 VANDERBILT ROAD,,CONNELLSVILLE,PA,15425,Fayette,724 626-7690,724 626-7856
,3984906,1649312299,ALLEGHENY TOWNSHIP MEDICAL ASSOCIATES,62 GREENBRIAR DR,STE 1,LEECHBURG,PA,15656,Westmoreland,724 845-7765,724 845-8418
,3984918,1124160775,FRANKFORD AVE FAMILY PRACTICE,8846 FRANKFORD AVE,,PHILADELPHIA,PA,19136,Philadelphia,215 332-8221,215 332-2979
STOP AND SHOP PHARMACY,3984920,1043242068,GIANT PHARMACY,3400 CONCORD ROAD,,ASTON,PA,19014,Delaware,610 497-5890,610 497-6261
,3984932,1508908179,PINE HOLLOW MEDICAL ASSOCIATES,133 CHURCH HILL RD,STE 2A,MCKEES ROCKS,PA,15136,Allegheny,412 722-1003,412 722-1024
,3984944,1639211204,MEDICAL GROUP OF CORY,315 YORK ST,,CORRY,PA,16407,Erie,814 664-8686,814 664-9826
WALGREENS DRUG STORE,3984956,1427063320,WALGREENS #7590,2 E STREET RD,,FEASTERVILLE,PA,19053,Bucks,215 322-2378,215 357-4049
TPN,3984982,1881720050,EVERGREEN PHARMACY,1222 WELSH RD,STE C 1,NORTH WALES,PA,19454,Montgomery,215 393-0902,215 393-0904
,3985009,1669514048,WEST VIEW FAMILY HEALTH ASSOC,1000 WEST VIEW PARK DR,STE 1,PITTSBURGH,PA,15229,Allegheny,412 939-3090,412 939-3094
RX PRIDE LLC,3985047,1215909148,LOMBARDOS APOTHECARY,1230 S MILL ST,,NEWCASTLE,PA,16101,Lawrence,724 654-8100,724 654-8110
EPIC PHARMACY NETWORK INC,3985059,1679588297,PICKWICK PHARMACY INC,1700 MARKET STREET,,PHILADELPHIA,PA,19103,Philadelphia,215 563-4860,215 563-7514
STOP AND SHOP PHARMACY,3985061,1952333973,GIANT PHARMACY,277 HERSHEY ROAD,,HUMMELSTOWN,PA,17036,Dauphin,717 256-0054,717 256-0061
MED FAST PHARMACY INC,3985073,1750306361,MED FAST PHARMACY,1886 HOMEVILLE ROAD,,WEST MIFFLIN,PA,15122,Allegheny,412 346-0220,412 346-0222
GOOD NEIGHBOR PHCY PROVIDER NTWK,3985085,1114999042,MAYFAIR DRUG STORE,7522 FRANKFORD AVE,,PHILADELPHIA,PA,19136,Philadelphia,215 338-2626,215 338-5209
RX PRIDE LLC,3985097,1932145950,SHADY MAPLE PHARMACY,1324 MAIN ST,,EAST EARL,PA,17519,Lancaster,717 355-9424,717 351-0253
WALMART STORES INC,3985112,1053339853,WAL-MART PHARMACY 10-5131,3461 HORIZON BLVD,,TREVOSE,PA,19053,Bucks,215 942-7483,
WALMART STORES INC,3985124,1962420760,WAL-MART PHARMACY 10-3838,2010 VILLAGE CENTER DRIVE,,TARENTUM,PA,15084,Allegheny,724 274-0272,
WALMART STORES INC,3985136,1699792846,SAMS PHARMACY 10-4847,6211 ROUTE 30,,GREENSBURG,PA,15601,Westmoreland,724 850-7306,
WALMART STORES INC,3985148,1871511675,SAMS PHARMACY 10-4952,2000 VILLAGE CENTER DRIVE,,TARENTUM,PA,15084,Allegheny,721 274-1730,
WALMART STORES INC,3985150,1417974668,WAL-MART PHARMACY 10-5470,6716 TOWN CENTER BLVD,,HUNTINGDON,PA,16652,Huntingdon,814 644-6922,
,3985162,1558403899,DOCTORS OF CLARION INC,420 WOOD ST,,CLARION,PA,16214,Clarion,814 226-7722,814 227-2390
,3985174,1598807406,BROOKS MEDICAL ARTS INC,180 GREENVILLE AVE,,CLARION,PA,16214,Clarion,814 226-7651,814 226-4051
WALGREENS DRUG STORE,3985198,1336154236,WALGREENS #7225,1 YORKTOWN PLAZA,,ELKINS PARK,PA,19027,Montgomery,215 481-9364,215 481-9675
LEADER DRUG STORES INC,3985213,1871535641,ADAMS DISCOUNT PHARMACY,241 N KESWICK AVE,,GLENSIDE,PA,19038,Montgomery,215 572-1118,215 572-0555
,3985225,1902842891,NORTHWEST PHARMACY SOLUTIONS,740 N MAIN ST EXT,,MEADVILLE,PA,16335,Crawford,814 724-3107,814 724-3108
,3985251,1083755649,CAMPBELL AND PHILBIN MEDICAL ASSOCS,92 BRADFORD AVE,,PITTSBURGH,PA,15205,Allegheny,412 922-2111,412 922-7109
,3985275,1215078878,GREATER PITTSBURGH MEDICAL ASSOCIATES - UPMC - CRANBERRY,3 ST FRANCIS WAY,ST FRANCIS MED OFFICE BLDG STE 206,CRANBERRY,PA,16066,Butler,724 779-5005,724 779-3278
,3985299,1306987714,"DRS. JOHN, CHANTZ, BIEDRZYCKI & ASSOCIATES - UPMC",100 DELAFIELD RD,STE 313,PITTSBURGH,PA,15215,Allegheny,412 781-0400,412 781-5988
,3985302,1386785517,BLAIR MEDICAL ASSOCS DUNCANSVILLE,111 DEVILLE DR,,DUNCANSVILLE,PA,16635,Blair,814 693-0628,814 693-0637
,3985314,1467593574,PREMIER MEDICAL ASSOCS,100 FOREST HILLS RD,FOREST HILLS PLAZA,PITTSBURGH,PA,15221,Allegheny,412 825-0500,412 825-0720
FAMILY CARE PHARMACY NETWORK,3985326,1184654469,CARESITE PHARMACY-PVL,529 TERRY REILLEY WAY,,POTTSVILLE,PA,17901,Schuylkill,570 624-4120,570 624-4127
CVS PHARMACY INC,3985364,1992809784,CVS PHARMACY,160 S MAIN ST,,DOYLESTOWN,PA,18901,Bucks,215 230-1690,
MEDICINE SHOPPE INTERNATIONAL INC,3985376,1295840239,MEDICINE SHOPPE,105 WHEATFIELD DR,SUITE 2 PRIME TIME PLAZA,MILFORD,PA,18337,Pike,570 296-5138,570 296-5386
CVS PHARMACY INC,3985388,1801990692,CVS PHARMACY,3811 NESHAMINY BLVD,,BENSALEM,PA,19020,Bucks,215 396-5690,
,3985390,1164563573,PENN CARE YARDLEY MED CNTR,62 S MAIN ST,,YARDLEY,PA,19067,Bucks,215 493-5535,215 493-3650
,3985403,1376684704,CHI PATEL AND MASSOUD,905 MENOHER BLVD,,JOHNSTOWN,PA,15905,Cambria,814 535-2504,814 539-2948
WALGREENS DRUG STORE,3985415,1245245141,WALGREENS #7366,3308 DEKALB PIKE,,EAST NORRITON,PA,19401,Montgomery,610 930-0051,610 930-0057
,3985427,1366583700,MAINLINE MEDICAL ASSOC ALTOONA,1400 NINTH AVE,,ALTOONA,PA,16602,Blair,814 941-8811,814 941-8828
,3985439,1205977642,MAINLINE MEDICAL ASSOCIATES,792 GALLITZIN RD,,CRESSON,PA,16630,Cambria,814 886-8161,814 886-2955
TARGET CORPORATION,3985441,1760405054,TARGET PHARMACY,288 MT NEBO POINTE DR,,PITTSBURGH,PA,15237,Allegheny,412 536-8201,412 536-8201
TARGET CORPORATION,3985453,1144242884,TARGET PHARMACY,246 WESTMINSTER DR,,CARLISLE,PA,17013,Cumberland,717 249-3509,717 249-3509
TARGET CORPORATION,3985465,1962424606,TARGET PHARMACY,87 WAGNER RD,,MONACA,PA,15061,Beaver,724 728-7259,724 728-7259
TARGET CORPORATION,3985477,1932121670,TARGET PHARMACY,8931 ROUTE 30,,NORTH HUNTINGDON,PA,15642,Westmoreland,724 863-5398,724 863-5398
,3985491,1669513420,PLUNDO MASTERSON MEDICAL ASSOCIATES,516 PELLIS ROAD,,GREENSBURG,PA,15601,Westmoreland,724 832-2570,724 832-2521
CVS PHARMACY INC,3985504,1922105428,CVS PHARMACY,855 S BROADWAY,,WIND GAP,PA,18091,Northampton,610 863-5341,
CVS PHARMACY INC,3985516,1710081500,CVS PHARMACY #,290 POTTSTOWN AVE,,PENNSBURG,PA,18073,Montgomery,215 541-2300,
ACCESSHEALTH PLUS,3985528,1275598146,AMBER PHARMACY,"323 NORRISTOWN RD, STE 100",,AMBLER,PA,19002,Montgomery,267 419-8506,877 853-1644
CVS PHARMACY INC,3985530,1629172416,CVS PHARMACY,730 NEWARK RD,,LANDENBERG,PA,19350,Chester,610 268-1214,
WALGREENS DRUG STORE,3985542,1154336055,WALGREENS #9344,2455 LEECHBURG RD,,NEW KENSINGTON,PA,15068,Westmoreland,724 334-1504,724 334-6831
TPN,3985554,1760451553,RX BLUE STAR SOLUTIONS,40 PENNWOOD PL STE 200,,WARRENDALE,PA,15086,Butler,800 985-7950,800 985-7951
LEADER DRUG STORES INC,3985566,1760402606,OLDE PHILLY PHARMACY,2923 E THOMPSON ST,,PHILADELPHIA,PA,19134,Philadelphia,215 739-0548,215 739-1579
THIRD PARTY STATION,3985578,1528032802,BROWNS PHARMACY,63 CANTON ST,,TROY,PA,16947,Bradford,570 297-5400,570 297-5401
WALGREENS DRUG STORE,3985580,1497793855,WALGREENS #9281,5956 PENNN CIR S,,PITTSBURGH,PA,15206,Allegheny,412 362-6328,
CORAM LLC,3985592,1649229410,CORAMRX LLC,4 SPRING MILL DR,,MALVERN,PA,19355,Chester,484 615-1000,877 513-7847
GOOD NEIGHBOR PHCY PROVIDER NTWK,3985605,1144255357,LIFESTREAM PHARMACY,847 EASTON RD,,WARRINGTON,PA,18976,Bucks,215 491-0999,215 491-0977
,3985617,1063554046,HEALTHY FAMILIES PRIMARY CARE,1700 PEACH STREET SUITE 200,,ERIE,PA,16501,Erie,814 452-3585,814 454-1606
,3985629,1760524755,TRI STATE MEDICAL GROUP VIMC,500 SHARON RD,,BEAVER,PA,15009,Beaver,724 728-8751,724 728-4633
ACCESSHEALTH PLUS,3985679,1679594642,HEALTH COMPLEX PHARMACY,24 DOCTORS LN,STE 100,CLARION,PA,16214,Clarion,814 226-7970,814 226-7972
MHA LONG TERM CARE NETWORK,3985681,1316952948,GUARDIAN LONG TERM CARE PHARMACY INC,123 BRUBAKER RD,,BROCKWAY,PA,15824,Clearfield,814 503-7400,814 503-7170
,3985693,1396888004,INTERNAL MED SPECIALISTS,2360 HOSPITAL DR,,ALIQUIPPA,PA,15001,Beaver,724 378-0830,724 378-3522
,3985706,1932242880,EDINBORO MEDICAL CENTER,450 ERIE ST,,EDINBORO,PA,16412,Erie,814 734-1618,814 734-3102
,3985718,1952444804,AMBRIDGE AREA HEALTHCARE,72 FIRST ST,,AMBRIDGE,PA,15003,Beaver,724 266-3239,724 251-9875
,3985732,1265575054,DIAGNOSTIC ASSOCIATES LATROBE,1100 LIGONIER ST,,LATROBE,PA,15650,Westmoreland,724 539-3555,724 539-2899
,3985744,1669514519,CHERRINGTON MEDICAL ASSOCIATES,935 THORN RUN RD,,MOON TOWNSHIP,PA,15108,Allegheny,412 299-8400,412 299-8497
,3985756,1710020664,KING OF PRUSSIA FAMILY PRACTICE,700 S HENDERSON RD,,KING OF PRUSSIA,PA,19406,Montgomery,610 265-0726,610 265-3132
,3985768,1982747663,GREATER PITTSBURGH MEDICAL ASSOCIATES - UPMC - PENN HILLS,7555 SALTSBURG RD,,PITTSBURGH,PA,15235,Allegheny,412 793-9099,412 795-4405
CVS PHARMACY INC,3985770,1538263322,CVS PHARMACY,1149 BEN FRANKLIN HWY WEST,,DOUGLASSVILLE,PA,19518,Berks,610 385-4300,
WALGREENS DRUG STORE,3985782,1861447724,WALGREENS #9675,6201 LEECHBURG RD,,VERONA,PA,15147,Allegheny,412 793-7328,
MEDICINE SHOPPE INTERNATIONAL INC,3985794,1619085792,MEDICINE SHOPPE PHARMACY,110 S 17TH ST,,HARRISBURG,PA,17104,Dauphin,717 236-7588,717 236-6186
,3985819,1437291572,ARMSTRONG PRIMARY CARE LEECHBURG,116 MAIN ST,,LEECHBURG,PA,15656,Armstrong,724 845-1211,724 845-5465
,3985833,1225170368,SUBURBAN EAST MEDICAL CENTER - UPMC,3436 WILLIAM PENN HWY,PENN C,PITTSBURGH,PA,15235,Allegheny,412 823-6222,412 823-5392
WALMART STORES INC,3985857,1780602581,WAL-MART PHARMACY 10-3633,12751 WASHINGTON TOWNSHIP BLVD,,WAYNESBORO,PA,17268,Franklin,717 762-7112,
WALGREENS DRUG STORE,3985871,1790790533,WALGREENS #9673,3180 CARLISLE RD,,DOVER,PA,17315,York,717 767-5322,
,3985883,1396887246,FAMILY PRACTICE ASSOCIATES OF HOPEWELL,99 BUSS RD,,ALQUIPPA,PA,15001,Beaver,724 378-6640,724 378-6619
,3985895,1285777136,SEWICKLEY PRIMARY CARE,701 BROAD ST,,SEWICKLEY,PA,15143,Allegheny,412 741-0985,412 741-7539
QOL MEDS,3985910,1225100498,QOL MEDS,2600 N AMERICAN ST,,PHILADELPHIA,PA,19133,Philadelphia,215 426-1007,215 426-2667
CVS PHARMACY INC,3985922,1831296334,CVS PHARMACY,402 RT 313,,PERKASIE,PA,18944,Bucks,215 249-4750,
WALGREENS DRUG STORE,3985934,1891732269,WALGREENS #9674,133 W 8TH AVE,,HOMESTEAD,PA,15120,Allegheny,412 461-9782,
WALGREENS DRUG STORE,3985946,1023045275,WALGREENS #9804,180 W MAIN ST,,UNIONTOWN,PA,15401,Fayette,724 434-2704,
GIANT EAGLE INC,3985960,1336194364,GIANT EAGLE PHARMACY 2412,2001 LINCOLN HWY,,WHITE OAK,PA,15131,Allegheny,412 673-1870,412 673-1874
CVS PHARMACY INC,3985972,1447354238,CVS PHARMACY,7720 BUSTLETON AVE,,PHILADELPHIA,PA,19152,Philadelphia,215 342-1091,
GIANT EAGLE INC,3985984,1093752271,GIANT EAGLE PHARMACY 2413,2000 PENNY LN DR,,JEANNETTE,PA,15644,Westmoreland,724 744-1903,724 744-1908
EPIC PHARMACY NETWORK INC,3985996,1326093170,ACADEMY PHARMACY,10101 ACADAMY RD,STE 105,PHILADELPHIA,PA,19114,Philadelphia,215 632-2121,215 632-6107
EPIC PHARMACY NETWORK INC,3986001,1861442543,HOPE PHARMACY,7050 TERMINAL SQ,STE 208,UPPER DARBY,PA,19082,Delaware,610 352-7372,610 352-7380
,3986013,1720023955,HOMETOWN PHARMACY,3 NORTHGATE PLZ,UNIT 2,HARMONY,PA,16037,Butler,724 452-5334,724 452-5592
,3986025,1306988456,WEST PENN MEDICAL ASSOCIATES - CHESWICK,105 HILL AVE,,CHESWICK,PA,15024,Allegheny,724 274-8812,724 274-5660
,3986037,1649312588,PRIMARY CARE PROFESSIONALS - PETER'S TOWNSHIP,160 GALLERY DR STE 300,,MCMURRAY,PA,15317,Washington,724 941-7144,724 941-7625
WALMART STORES INC,3986051,1144264888,SAMS PHARMACY 10-6678,289 MT NEBO POINT DRIVE,,PITTSBURGH,PA,15237,Allegheny,412 364-6815,
,3986063,1780726620,TRI STATE MEDICAL GROUP TRINITY,2620 CONSTITUTION BLVD,,BEAVER FALLS,PA,15010,Beaver,724 847-4755,724 843-1554
ACCESSHEALTH PLUS,3986087,1134159536,CURTIS PHARMACY,305 MAIN ST,,CLAYSVILLE,PA,15323,Washington,724 663-7707,724 663-5994
EPIC PHARMACY NETWORK INC,3986114,1639196090,HOLMESBURG PHARMACY,8039 FRANKFORD AVE,,PHILADELPHIA,PA,19136,Philadelphia,215 332-2400,215 332-6020
,3986126,1184766321,PENNCARE KENNETT FAMILY PRACTICE ASSOC,402 MCFARLAN RD,102,KENNETT SQUARE,PA,19348,Chester,610 444-5678,610 444-1738
,3986138,1760524912,RENAISSANCE FAMILY PRACTICE GLENSHAW,619 MT ROYAL BLVD,,PITTSBURGH,PA,15223,Allegheny,412 487-4422,412 487-6930
TARGET CORPORATION,3986164,1902848195,TARGET PHARMACY,120 MATTHEW DR,,UNIONTOWN,PA,15401,Fayette,724 439-6681,724 415-3933
GIANT EAGLE INC,3986176,1366552861,GIANT EAGLE PHARMACY 0053,820 TRI COUNTY PLZ,,BELLE VERNON,PA,15012,Westmoreland,724 929-3789,724 929-6034
,3986190,1568504728,RENAISSANCE FAMILY PRACTICE MILLVALE,111 SHERIDAN ST,,PITTSBURGH,PA,15209,Allegheny,412 821-2277,412 821-1453
,3986203,1982746061,JEANNETTE PRIMARY CARE,610 JEFFERSON AVE,,JEANNETTE,PA,15644,Westmoreland,724 527-1145,724 527-3535
,3986227,1174665095,RENAISSANCE FAMILY PRACTICE ASPINWALL,200 DELAFIELD RD,STE 2030,PITTSBURGH,PA,15215,Allegheny,412 784-2101,412 782-2108
RITE AID CORPORATION,3986253,1992735054,RITE AID PHARMACY 17783,7036 WERTZVILLE ROAD,,MECHANICSBURG,PA,17050,Cumberland,717 697-3450,
CVS PHARMACY INC,3986277,1386741882,CVS PHARMACY,906 W LEESPORT RD,,LEESPORT,PA,19533,Berks,610 208-8612,
TPN CP,3986289,1093829988,TANG PHARMACY INC,5925 N FIFTH ST,,PHILADELPHIA,PA,19120,Philadelphia,215 224-1500,215 224-6500
TPN,3986291,1174552475,ROSTRAVER DRUG STORE LLC,520 CIRCLE DR,,BELLE VERNON,PA,15012,Westmoreland,724 929-5533,724 929-5530
,3986328,1194867267,RENAISSANCE FAMILY PRACTICE PENN HILLS,5769 SALTSBURG RD,,VERONA,PA,15147,Allegheny,412 793-8870,412 793-9290
,3986366,1205977303,PINE RICHLAND MEDICAL ASSOCIATES,5375 WILLIAM FLYNN HWY,RICHLAND MALL,GIBSONIA,PA,15044,Allegheny,724 444-4700,724 444-4730
RITE AID CORPORATION,3986392,1790705606,RITE AID PHARMACY 07833,1390 S VALLEY FORGE ROAD,,LANSDALE,PA,19446,Montgomery,215 361-1759,
WALGREENS DRUG STORE,3986417,1528163565,WALGREENS #9586,1210 WILMINGTON AVE,,CASTLE,PA,16105,Lawrence,724 652-0750,724 652-0750
,3986431,1043351141,PENNCARE - BUCKS COUNTY INTERNAL MEDICINE,444 S STATE ST,,NEWTON,PA,18940,Bucks,215 860-0775,215 860-7754
,3986443,1154463719,ALLE KISKI MEDCIAL ASSOCIATE - TARENTUM,317 FIRST AVE,,TARENTUM,PA,15084,Allegheny,724 226-2900,724 226-3435
,3986455,1760524326,REED GRAHAM MORELLO MEDICAL ASSOCIATES,575 LINCOLN AVE,STE 104,PITTSBURGH,PA,15202,Allegheny,412 761-5535,412 761-5540
ACCESSHEALTH PLUS,3986479,1528079191,GERRITYS PHARMACY HANOVER,2280 SAN SONCI PKWY,HANOVER MALL,HANOVER TOWNSHIP,PA,18706,Luzerne,570 812-0016,570 812-0017
INNOVATIX NETWORK LLC,3986506,1265452197,SQA PHARMACY SERVICES LLC,4700 WISSAHICKON AVE,STE B108,PHILADELPHIA,PA,19144,Philadelphia,215 438-3308,215 951-6285
,3986532,1063554699,FAMILY MEDICAL CARE OF LAWRENCE COUNTY,150 N NEW CASTLE ST,,NEW WILMINGTON,PA,16142,Lawrence,724 946-3564,724 946-2156
,3986544,1356483366,FUGE FAMILY PRACTICE,300 PENN CENTER BLVD,STE 702,PITTSBURGH,PA,15235,Allegheny,412 816-2273,412 816-2329
,3986556,1144362799,TRI STATE MEDICAL GROUP PASCUA,2400 DARLINGTON RD,,BEAVER FALLS,PA,15010,Beaver,724 847-2950,
,3986582,1558402156,WEST ERIE MEDICAL GROUP,1600 PENINSULA DR,STE C,ERIE,PA,16505,Erie,814 877-7035,814 877-6276
MHA LONG TERM CARE NETWORK,3986607,1437160009,CPS ABRAMSON CTR PHARMACY,1425 HORSHAM RD,2ND FL,NORTH WALES,PA,19454,Montgomery,215 371-1380,215 371-3086
WALGREENS DRUG STORE,3986621,1407955263,WALGREENS #9736,4885 MCKNIGHT RD,UNIT 4A,PITTSBURG,PA,15237,Allegheny,412 366-6324,
WALGREENS DRUG STORE,3986633,1881755049,WALGREENS #2536,840 E BALTIMORE PK,,KENNETT SQUARE,PA,19348,Chester,610 444-2045,
,3986645,1215079025,SEWICKLEY VALLEY MEDICAL GRP W ALLEGHENY,300 PENN LINCOLN DR,,IMPERIAL,PA,15126,Allegheny,724 695-2411,724 695-2973
,3986657,1730221557,TRI STATE MEDICAL GROUP TATUM,2299 BRODHEAD RD,,ALQUIPPA,PA,15001,Beaver,724 378-8484,724 378-0577
WALGREENS DRUG STORE,3986669,1922183821,WALGREENS #9994,1955 SULLIVAN TR,,EASTON,PA,18040,Northampton,610 258-7439,
,3986671,1699817072,TRI STATE MEDICAL GROUP KALENAK,207 A SECOND ST,,DARLINGTON,PA,16115,Beaver,724 827-8137,724 827-2578
,3986683,1194867903,PENN CARE FRENCH CREEK FAMILY MEDICINE,824 MAIN ST,,PHOENIXVILLE,PA,19460,Chester,610 933-3182,610 917-0646
,3986708,1336281195,RIAD SARADAR MD,25 HIGHLAND PARK DR,STE 203,UNIONTOWN,PA,15401,Fayette,724 438-6311,724 438-6405
,3986710,1053453829,HICKORY FAMILY PRACTICE,4151 HENDERSON RD,,HICKORY,PA,15340,Washington,724 356-2273,724 356-2585
,3986734,1215079090,PENN CARE WEST CHESTER FAMILY PRACTICE,1055 ANDREW DR,STE B,WEST CHESTER,PA,19380,Chester,610 436-4448,610 431-3707
,3986758,1104967918,PENNCARE J EDWIN WOOD CLINIC AT PA,700 SPRUCE ST,STE 304,PHILADELPHIA,PA,19106,Philadelphia,215 829-3521,215 829-3532
,3986772,1760524920,PINECREST FAMILY PRACTICE FRENCH ST,3125 FRENCH ST,,ERIE,PA,16504,Erie,814 456-2041,814 453-5226
WALGREENS DRUG STORE,3986796,1902982028,WALGREENS #7425,890 W MAIN ST,,LANSDALE,PA,19446,Montgomery,215 393-1672,
OMNICARE INC NCS HEALTHCARE LLC,3986809,1013022656,HEARTLAND PHARMACY OF PENNSYLVANIA,7010 SNOWDRIFT RD,,ALLENTOWN,PA,18106,Lehigh,516 938-8080,800 962-9016
WALMART STORES INC,3986823,1215021365,WAL-MART PHARMACY 10-3810,620 GRAVEL PIKE,,EAST GREENVILLE,PA,18041,Montgomery,215 679-7010,
,3986861,1922149947,HUSSAINI MEDICAL ASSOCIATES,340 LINCOLN AVE,,PITTSBURGH,PA,15202,Allegheny,412 761-5744,412 761-5744
,3986885,1447392691,LIBERTY FAMILY PRACTICE,3413 CHERRY ST,,ERIE,PA,16508,Erie,814 868-9828,814 868-8561
RITE AID CORPORATION,3986897,1285738971,RITE AID PHARMACY 11916,4770 MCKNIGHT ROAD,SUITE A,PITTSBURGH,PA,15237,Allegheny,412 364-8100,
TARGET CORPORATION,3986912,1851475370,TARGET PHARMACY,1824 E RIDGE PIKE,,ROYERSFORD,PA,19468,Montgomery,610 226-2152,610 226-2152
TARGET CORPORATION,3986924,1942384474,TARGET PHARMACY,4600 HIGH POINTE BLVD,,HARRISBURG,PA,17111,Dauphin,717 558-4151,717 558-4161
TARGET CORPORATION,3986936,1235212861,TARGET PHARMACY,4801 MCKNIGHT ROAD SUITE 60,,PITTSBURGH,PA,15237,Allegheny,412 536-1808,412 536-1808
,3986950,1316088115,PRIMARY CARE NORTHSIDE,490 E NORTH AVE,STE 200,PITTSBURGH,PA,15212,Allegheny,412 321-7231,412 321-0870
ACCESSHEALTH PLUS,3986962,1558469486,LANDIS PHARMACY VERNFIELD,2700 SHELLY RD,,HARLEYSVILLE,PA,19438,Montgomery,215 513-3053,215 513-3052
WALGREENS DRUG STORE,3986986,1902974124,WALGREENS #9803,324 HULTON ROAD,,OAKMONT,PA,15139,Allegheny,412 826-8303,
,3986998,1699815761,DIAGNOSTIC ASSOCIATES GREENSBURG,530 S STREET MEDICAL COMMONS,STE 360,GREENSBURG,PA,15601,Westmoreland,724 853-1610,724 853-1614
,3987003,1164563730,PENNCARE BALA CYNWYD MEDICAL ASSOCIATES,2 BALA PLAZA,IL27,BALA CYNWYD,PA,19004,Montgomery,610 668-9999,610 668-7188
,3987027,1699816835,PARNASSUS MEDICAL ASSOCIATES - UPMC,356 FREEPORT RD,STE 205,NEW KENSINGTON,PA,15068,Westmoreland,724 335-8223,724 335-0140
