lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
1172	CouchDB Log Enable	CouchDB log på	Activar Log CouchDB	Activar Log CouchDB	CouchDB Log aktiviert	CouchDB log aan		Log activé CouchDB.					Включить журналирование CouchDB			Log CouchDB Aktif	Ενεργοποίηση σύνδεσης με τη Βάση δεδομένων CouchDB			CouchDB - Ativar Log	فعّل تسجيل احداث CouchDB					CouchDB Log Enable	CouchDB के प्रवेश सक्षम		Cho phép Ghi nhật ký CouchDB		CouchDB Log Enable		CouchDB логи увімкнено									dummy
1173	CouchDB Password	CouchDB lösenord	Contraseña CouchDB	Contraseña CouchDB	CouchDB Passwort	CouchDB paswoord		Mot de passe CouchDB.					Пароль CouchDB			Sandi CouchDB	Κωδικός πρόσβασης στη Βάση δεδομένων CouchDB			CouchDB - Senha	كلمة سّر CouchDB					CouchDB Password	CouchDB पासवर्ड		Mật khẩu CouchDB		CouchDB Password		CouchDB пароль									dummy
1174	CouchDB Port	CouchDB port	Puerto CouchDB	Puerto CouchDB	CouchDB Port	CouchDB poort		Numero de port CouchDB.					Порт CouchDB			Port CouchDB	Θύρα για τη Βάση δεδομένων CouchDB			CouchDB - Porta	مدخل CouchDB					CouchDB Port	CouchDB के पोर्ट		Cổng CouchDB		CouchDB Port		CouchDB порт									dummy
1175	CouchDB port	CouchDB port	puerto CouchDB	puerto CouchDB	CouchDB Port	CouchDB poort		Numero de port CouchDB.					Порт CouchDB			port CouchDB	Θύρα για τη Βάση δεδομένων CouchDB			CouchDB - Porta	مدخل CouchDB					CouchDB port	CouchDB के पोर्ट		Cổng CouchDB		CouchDB port		CouchDB порт									dummy
1176	CouchDB save failed																																									dummy
1177	CouchDB UserName	CouchDB användarnamn	Nombre usuario CouchDB	Nombre usuario CouchDB	CouchDB Nutzername	CouchDB Usernaam		Nom d\'utilisateur CouchDB.					Имя пользователя CouchDB			Username CouchDB	Όνομα χρήστη στη Θύρα για τη Βάση δεδομένων CouchDB			CouchDB - Nome do Usuário	إسم مستخدم CouchDB					CouchDB UserName	CouchDB उपयोगकर्ता नाम		Tên Người dùng CouchDB		CouchDB UserName		CouchDB ім\'я користувача									dummy
1178	Cough	Hosta	Tos	Tos	Husten	Hoest		Toux			咳嗽	咳嗽	Кашель			Batuk	Βήχας		Tosse	Tosse	السعال	Hoste	Öksürük			Tosse	खाँसी:		Ho		Kolle	Kašel	Кашель			سرفه						dummy
1179	Cough:	Hosta:	Tos:	Tos:	Husten:	Hoest:		Toux:		Hoste:	咳嗽：	咳嗽：	Кашель:			Batuk:	Βήχας: 		Tosse:	Tosse:	السعال:	Hoste	Öksürük:			Tosse:	खाँसी:		Ho:		Kolle:	Kašel:	Кашель:			سرفه:						dummy
1180	could not connect to server																																									dummy
1181	could not open table																																									dummy
1182	Could not read file	Kunde ej läsa fil	No se pudo leer el fichero	No se pudo leer el archivo	Datei kann nicht gelesen werden	Kon bestand niet lezen		Impossible de lire le fichier			无法读取文件	無法讀取檔案	Не удалось прочитать файл			Tidak dapat membaca file	Το αρχείο δεν μπορεί να διαβαστεί		Não foi possível ler o ficheiro	Não foi possível ler o arquivo	تعذر قراءة الملف	Kunne ikke læse fil	Dosya okunamadı			Non è stato possibile leggere il file	फ़ाइल नहीं पढ़ सका		Không thể đọc tập tin		Nuk mund te lexoj filen	Soubor nelze přečíst	Не вдалося прочитати файл									dummy
1183	Could not read the file																																									dummy
1184	Could not send email due to a server problem, 	Kunde inte skicka e-post på grund av en server problem	email no enviado por problema en el servidor,	Correo no salió por problema con servidor,	Konnte E-Mail wegen Server-Problemen nicht senden,	E-mail werd niet verzonden door serverprobleem,		Impossible d\'envoyer e-mail en raison d\'un problème de serveur,		Kunne ikke sende epost grunnet et problem med serveren	因服务器问题无法发送电子邮件	不能傳送電子郵件由於伺服器問題，	Не удалось отправить email из-за проблемы сервера,			Tidak dapat mengirim email karena masalah server,	Το e-mail δεν μπορεί να σταλεί, λόγω προβλήματος του εξυπηρετητή,		Não pode enviar e-mail devido a problema do servidor,	Não foi possível enviar e-mail devido a um problema de servidor,	فشل إرسال رسللة إلكترونية لعطل في الشبكة	Kunne ikke sende email pga. problemer med serveren	Sunucu sorunu nedeniyle eposta gönderilemedi.			Non è stato possibile inviare la email per un problema del server	ईमेल नहीं भेजा जा सका,कारण एक सर्वर की समस्या 		Không thể gửi email do một vấn đề ở máy chủ,		Nuk mund te dergoj email per nje problem ne server,	Problémy na serveru. E-mail nelze odeslat	Не вдалося відправити email через проблеми сервера,									dummy
1185	Could not send email due to a server problem. 	Kunde inte skicka e-post på grund av en server problem	No se pudo enviar email debido a problemas en el servidor.	No se pudo enviar email debido a problemas en el servidor.	Konnte E-Mail wegen Server-Problemen nicht senden,	E-mail werd niet verzonden door server probleem.		Impossible d\'envoyer e-mail en raison d\'un problème de serveur,					Не удалось отправить email из-за проблемы сервера.				Το e-mail δεν μπορεί να σταλεί, λόγω προβλήματος του εξυπηρετητή,			Não foi possível enviar e-mail devido a um problema de servidor.	تعذر إرسال البريد اﻹلكتروني بسبب مشكلة في الخادم		email sunucu hatası nedeniyle gönderilemedi			Impossibile inviare e-mail a causa di un problema del server.	ईमेल नहीं भेजा जा सका,कारण एक सर्वर की समस्या 		Không thể gửi email do một vấn đề ở máy chủ,		Nuk mund te dergoj email per nje problem ne server.		Не вдалося відправити email через проблеми сервера.									dummy
1186	Couldn't create backup dir:	Kunde inte skapa backup	No se pudo crear el dir de backup:	No se pudo crear el dir de backup:	Konnte Backup-Verzeichnis nicht erstellen	Kon geen backup Dir maken:		Impossible de créer le répertoire de sauvegarde:			无法创建备份目录：	不能創造備份子目錄：	Не удалось создать директорию резервного копирования:			Tidak dapat membuat direktori backup	Δεν ήταν δυνατή δημιουργία καταλόγου με αντίγραφα ασφαλείας:			Não foi possível criar pasta de Backup:	فشل إنشاء النسخة الاحتياطية	kunne ikke oprette backup dir:	Yedek klasörü oluşturulamadı:			Non è stato possibile creare la dir del backup:	बैकअप निर्देशिका नहीं बना सका:		Không thể tạo thư mục sao lưu:		Couldn\'t create backup dir:	Nelze vytvořit adresář pro zálohy	Не вдалося створити директорію резервного копіювання:									dummy
1187	Couldn't remove dir:	Kunde inte ta bort mapp	No se pudo eliminar dir:	No se pudo eliminar dir:	Konnte Verzeichnis nicht löschen:	Kon volgende Dir niet verwijderen:		Impossible de supprimer le répertoire:			不能删除目录：	不能移除子目錄:	Не удалось удалить директорию:			Tidak dapat menghapus direktori:	Δεν ήταν δυνατή η διαγραφή καταλόγου dir:			Não foi possível excluir pasta:	تعذر حذف المجلد	Kunne ikke fjerne dir:	Klasör silinemedi:			Non è stato possibile rimuovere la dir:	निर्देशिका हटा नहीं सका:		Không thể loại bỏ thư mục:		Couldn\'t remove dir:	Adresář nelze smazat	Не вдалося видалити директорію:									dummy
1188	Couldn't remove old backup file:	Kunde inte ta bort gammal backup fil	No se pudo eliminar el antiguo fichero de Backup:	No se pudo eliminar el antiguo fichero de Backup:	Konnte alte Backup-Datei nicht löschen:	Kon deze oude backupfile niet verwijderen:		Impossible de supprimer le fichier de sauvegarde ancienne:			无法删除旧的备份文件：	不能移除舊的備份檔案：	Не удалось удалить старый файл резервного копирования:			Tidak dapat menghapus file backup yang lama:	Αδύνατη η διαγραφή παλαιού φακέλου με αντίγραφα ασφαλείας:			Não foi possível excluir arquivo antigo de backup:	تعذر حذف ملف النسخ اﻹحتياطي السابق	Kunne ikke fjerne gammel backupfil	Eski yedek dosyası silinemedi:			Non è stato possibile rimuovere il vecchio file di backup:	पुराने बैकअप फ़ाइल हटा नहीं सका:		Không thể loại bỏ tập tin sao lưu cũ:		Couldn\'t remove old backup file:	Nelze smazat starý soubor zálohy	Не вдалося видалити старий файл резервного копіювання:									dummy
1189	Couldn't remove old export file: 	Kunde inte ta bort gammal export fil	No se pudo eliminar el antiguo fichero de exportación: 	No se pudo eliminar el antiguo fichero de exportación: 	Konnte alte Export-Datei nicht löschen	Kon deze oude exportfile niet verwijderen		Impossible de supprimer l\'ancien fichier d\'exportation:			无法删除旧文件：	不能移除舊的出口檔案：	Не удалось удалить старый файл экспорта:			Tidak dapat menghapus file ekspor yang lama:	Δεν ήταν δυνατή η διαγραφή παλαιού αρχείου εξαγωγής:		Não pode remover o documento antigo exportado	Não foi possível excluir arquivo antigo exportado:	تعذر حذف ملف التصدير السابق	Kunne ikke fjerne gamle exporteret fil	Eski dışarı aktarım dosyası silinemedi:			Non è stato possibile rimuovere il vecchio file di esportazione:	पुराने निर्यात फ़ाइल हटा नहीं सका:		Không thể loại bỏ tập tin xuất khẩu cũ:		Couldn\'t remove old export file: 	Nelze smazat starý soubor exportu	Не вдалося видалити старий файл експорту:									dummy
1190	Coumadin Management - INR Monitoring	Waran INR kontroll	Tratamiento con Coumadin - Seguimiento del Ratio Internacional Normalizado (RIN)	Tratamiento con Coumadin - Seguimiento del Ratio Internacional Normalizado (RIN)	INR-Kontrolle	Antistollingscontrole; INR controle		Gestion de la coumadine - contrôle INR			香豆管理-比值监测	香豆管理- INR監測	Управление Coumadin - контроль международного нормализационного индекса			Pengelolaan Coumadin - Pemantauan USD	Χειρισμός αντιπηκτικής αγωγής - Παρακολούθηση INR				تدبير المعالجة بمميعات الدم- مراقبة INR		Kumadin tedavisi INR izlemi			Gestione Coumadin - Monitoraggio	Coumadin प्रबंधन - INR निगरानी		Coumadin Quản lý - Giám sát INR		Coumadin Management - INR Monitoring		Менеджмент Кумадіна - контроль міжнародного нормалізаційного індексу									dummy
1191	Couns by Method	Couns av metod	Counseling por Método	Counseling por Método	Beratung nach Methode	Begeleiding dmv methode					顾问的方法	Couns by Method	Реком. по способу			Konseling dengan Metode	Συμβουλευτική ανά μέθοδο		Acounselhamento através de Método	Aconselhamento por Método	الإستشارة بالنوع	Couns av metod	Yönteme göre ülkeler			Assist. con metodo	विधि द्वारा परामर्श		Couns bằng phương pháp		Keshillim me metode		Реком. за способом									dummy
1192	Counseling	Rådgivning	Orientación	Orientación	Beratung	Begeleiding		Psychothérapie		Rådgiving	咨询	諮商	Рекомендация			Konseling	Συμβουλευτική	Counselling	Aconselhando	Aconselhamento	جلسات التوعية	Rådgivning	Danışma			Assistenza	परामर्श		Tư vấn		Keshillim	Poradna	Консультування			مشاوره						dummy
1193	Counseling activities	Rådgivning, Aktivitet	Actividades de orientación	Actividades de orientación	Beratungsaktivitäten	Begeleidingsactiviteiten		Activités d\'aide psychologique			咨询活动	諮商活動	Консультативная работа			Kegiatan konseling	Συμβουλευτικές δραστηριότητες	Counselling activities	Atividade de Aconselhamento	Atividades de aconselhamento	نشاطات التوعية	Rådgivning, Aktivitet	Danışmanlık Faaliyetleri			Attività di assistenza	परामर्श गतिविधियों		Tư vấn hoạt động		aktivitete keshillimi		Консультативна робота			فعالیت های مشاوره						dummy
1194	COUNTER REFERRAL FORM	svarsremiss, formulär	FORMULARIO CONTADOR DE DERIVACIONES	CONTADOR DE REMISIÓN	Rücküberweisung Form	Terug verwijsbrief		Formulaire d\'envois à l\'acceuil			案子转介表格	案子轉介表格	УЧЕТНАЯ ФОРМА НАПРАВЛЕНИЯ			FORMULIR RUJUKAN KONTER/KASIR	Έντυπο επιστρεφόμενων παραπομπών		CONTRA FORMA DE INDICAÇÃO	CONTADOR NO FORMULÁRIO	نموذج اﻹحالة	svarsremiss, formulär	KARŞI SEVK FORMU			DEFERIMENTO MODULO CONTATORE	जवाबी रेफरल फार्म		MẪU CHỈ ĐỊNH ĐIỀU TRỊ		FORMA E KONDRA-BILETES		ОБЛІКОВА ФОРМА НАПРАВЛЕННЯ			فرم پاسخ ارجاع						dummy
1195	Counter-Referral	Nation	Contador-Derivación	Retorno de la derivación	Rücküberweisung	Terug verwijzing		Envois à l\'acceuil			案子转介	案子轉介	Учетное направления			Rujukan Konter/Kasir	Επιστροφή παραπομπής		Contra informação	Contra-referência	تعدد الاحالة	Remisssvar	Karşı-Sevk			Contatore-deferimento	जवाबी रेफरल		Counter-Giới Thiệu		Kondra-Bilete		Обліковий направлення			پاسخ ارجاع						dummy
1196	Country	Land	País	País	Land	Land		Pays		Land	国家	國家	Страна			Negara	Χώρα		País	País	الدولة	Land	Ülke	Kraj		Nazione	देश		Quốc gia		Shtet	Země	Країна			کشور						dummy
1197	Country Data Type	Typ av nationsdata	Tipo de datos País	Tipo de datos País	Länder Datentyp	Landspecifieke Data Type		Type de données Pays			国家数据类型	國家資料類型	Тип данных для страны			Jenis Data Negara	Τύπος δεδομένων Χώρας			País - Tipo de dados	نوع بيانات الدول		Ülke Veri Tipi			Tipo di dato Nazione	देश डेटा प्रकार		Quốc gia Loại dữ liệu		Lloji i te dhenave te shtetit		Тип даних по країні									dummy
1198	Country list	Nationslista	Lista de País	Lista de País	Länderliste	Namenlijst van landen		Liste des Pays			国家列表	國家名單	Список стран			Daftar Negara	Λίστα χωρών			País - Lista	قائمة الدول	Land, liste	Ülke listesi	Lista krajów		Elenco Nazioni	देश सूची		Quốc gia danh sách		Liste shtetesh	Seznam zemí	Список країн			فهرست کشورها 						dummy
1199	Country List (write,addonly optional)	Nationslista	Lista del país (escriba, addonly opcional)	Lista del país (escriba, addonly opcional)	Länderliste (schreiben, hinzufügen optional)	Landenlijst (schrijven,toevoegen optioneel)		Liste des Pays(ecriture, ajout seulement optionnel)			国家名单（写只添加可选）	國家名單(寫， 任意可選)	Список стран (write,addonly не обязателен)			Daftar Negara (tulis, hanya tambah opsional)	Λίστα Χωρών (εγγραφή)		Lista de Países (escrever,adicionar somente opcional)	Lista de Países (escrever, adicionar somente opcional)	قائمة الدول	Land, Lista	Ülke Listesi (yaz, yalnızca ekle seçmeli)			Lista Paesi(scrivere, aggiungere solo opzionale)	देश सूची (लिखने, addonly वैकल्पिक)		Danh sách quốc gia (viết, thêm tùy chọn)		Liste shtetesh (write,addonly optional)		Список країн (на вибір - право записувати все/частково)									dummy
1200	Country Name should be represent in two letters. (Example: United States is US)	Nationsnamn ska representeras av två bokstäver	Nombre del Pais deber ser representados por dos letras	Nombre del Pais debe ser representado por dos letras	Zweistelliger Ländercode (z.B. USA = US)	Landnaam moet uit twee letters bestaan (bijvoorbeeld: Verenigde staten is US)		Nom du pays devrait être représenté dans deux lettres. (Exemple: États-Unis c\'est US)			国家应在2个字母代表。（例如：United States 是 US）	國名應該用2個字母代表(如:美國是US)	Наименование страны должно быть представлено двумя буквами. (Например: Соединенные штаты обозначено US)			Nama Negara harus dinyatakan dalam dua kata. (Contoh: United States adalah US)	Τό όνομα της χώρας πρέπει να συμβολίζεται με δύο γράμματα (πχ. η Ελλάδα είναι GR)			Nome do País deve ser representado por duas letras (Ex: Brasil = BR)	اسم الدولة لا بد أن يتم تمثيله ب حرفين (مثلا : السعودية :SA)		Ülke İsmi iki harfle temsil edilmelidir. ( Örnek: Türkiye TR dir)			Il nome della nazione dovrebbe essere essere indicato da due lettere. (esempio: Italia è IT)	देश का नाम दो अक्षरों में प्रतिनिधित्व होना चाहिए. (उदाहरण: यूनाइटेड स्टेट्स यूएस है)		Quốc gia Tên có đại diện trong hai chữ cái. (Ví dụ: Việt Nam là VN)		Emri i shtetit duhet te perfaqesoht me dy germa. (Psh. United States eshte US)	Jméno země by mělo být uvedeno dvěma písmeny. ( Příklad: United States - US)	Найменування країни має бути представлено двома буквами. (Наприклад: Сполучені штати позначено US)									dummy
1201	county	Landsting	condado	condado	Bezirk	regio		région			县	縣	республика			negara	Επαρχία	district	país	país	المحافظة	Amt	kasaba	województwo		contea	काउंटी		Tỉnh lỵ		Qark	Okres	країна			بخش						dummy
1202	Coupon	kupong	Cupón	Cupón	Coupon	Coupon		Coupon			优惠券	優惠卷	Купон			Kupon	Κουπόνι 		Cupom	Cupom	القسيمة	kuppon	Bono			Buono	कूपन		Phiếu giảm giá		Kupon		Купон			کوپن						dummy
1203	CPT	CPT	CPT	CPT	CPT	CPT		CPT			胸腔物理治疗	胸腔物理治療	Клиническое обследование больного (CPT)			CPT	CPT		CPT	CPT	قائمة الإجراءات الطبية	CPT	GİT (Güncel İşlem Terminolojisi)			CPT	CPT		CPT		CPT		Клінічне обстеження хворого (КОХ)									dummy
1204	CPT Code	CPT Koder	Código CPT	Código CPT	CPT-Code	CPT-Code		CPT Code			胸腔物理治疗代码	胸腔物理治療代碼	Код CPT			Kode CPT	Κωδικός CPT			Código CPT	رمز CPT4		GİT Kodu			Codice CPT	CPT कोड		Mã CPT		CPT Code		Код (КОХ)									dummy
1205	CPT Codes	CPT Koder	Código CPT	Código CPT	CPT-Codes	CPT-Codes		CPT Codes			胸腔物理治疗代码	胸腔物理治療代碼	Коды CPT			Kode CPT	Κωδικοί CPT		CPT Códigos	Códigos de CPT	تصانيف الإجراءات الطبية	CPT Koder	GİT Kodları			Codici CPT	CPT कोड		Mã CPT		CPT Codes		Коди (КОХ)									dummy
1206	CPT4 Procedure/Service	CPT4 Åtgärder/Tjänster	Procedimiento/Servicio CPT4	Procedimiento/Servicio CPT4	CPT4-Behandlung	CPT4-Procedure/Service		CPT4 Procedure/Service					Процедура/служба CPT4				Διαδικασία/Υπηρεσία CPT4				إجراءات / خدمة CPT4					CPT4 Procedura/Servizio	CPT4 प्रक्रिया / सेवा		Thủ tục / Dịch vụ CPT4		CPT4 Procedure/Service		КОХ4 Процедури/Послуги									dummy
1207	CPTII Performance Measures	CPTII Mått på utförande	Medidas de Rendimiento CPTII	Medidas de Rendimiento CPTII	CPTII Performance Messung	CPTII Perfomance Meetingen		CPTII Mesure des perfomances					Измерение эффективности CPTII				Μετρήσεις Επιδόσεων CPTΙΙ				قياسات اداء CPTII					CPTII misure delle prestazioni	CPTII प्रदर्शन मापने के		Đo lường Hiệu năng CPTII		CPTII Performance Measures		КОХІІ вимірювання продуктивності									dummy
1208	CQM	Kvalitetscertifikat (GCP)	Gestión Calidad Continua (GCC)	Gestión Calidad Continua (GCC)	CQM	CQM		LCQ			喹芥子气	CQM	CQM			CQM	CQM				CQM					CQM	CQM		CQM		CQM		Безперервне управління якістю (CQM)									dummy
1209	Crackles:	Sprickor:	Crujidos, crepitaciones	Crujidos, crepitaciones	Rasselgeräusch:	Knisperend:		Craquements:			裂纹：	爆裂聲：	Влажные хрипы:			Crackles:	Ρόγχοι:		Crackles:	Crepitações:	أصوات تنفسية فرقعية:	Sprickor:	Raller:			Cricchiolii:	crackles:		Crackles:				Вологі хрипи:									dummy
1210	cream	kräm	crema	crema	Sahne	creme		Crème		krem	奶油	奶油	крем			krim	κρέμα (cream)		nata	creme	كريم	creme	krem	krem		crema	क्रीम		kem		krem		крем			کرم						dummy
1211	Create a Client side SSL certificate for each user or client machine.	Skapa klient certifikat SSL för varje användare eller dator	Crear un certificado SSL del Cliente por usuario o cliente de maquina	Crear un certificado SSL del Cliente por usuario o cliente de maquina	Erstelle ein clientseitiges SSL-Zertifikat für jeden Benutzer oder jeden Client-Rechner	Maak een SSL-clientcertificaat aan voor elke gebruiker of clientmachine.		Créer un certificat SSL côté client pour chaque utilisateur ou ordinateur client.			创建一个客户端证书为每个用户或客户机。	為每個用戶或客戶機上創建一個客戶端SSL證書。	Создает сертификат SSL на стороне клиента для каждого пользователя или клиентской машины.			Buat sertifikat SSL sisi klien untuk setiap mesin klien atau pengguna.	Δημιουργία ενός πιστοποιητικού SSL για τον πελάτη για κάθε χρήστη ή μηχανή πελάτη.			Crie um certificado SSL do lado do cliente para cada usuário ou máquina cliente.	إنشاء شهادة SSL من جانب العميل لكل مستخدم أو جهاز العميل.		Her bir kullanıcı veya her bir iş istasyonu için yeni bir müşteri SSL sertifikası oluştur			Crea un certificato SSL lato Client per ciascun utente o macchina client.	प्रत्येक उपयोगकर्ता या ग्राहक मशीन के लिए एक क्लाइंट साइड SSL प्रमाणपत्र बनाएं.		Tạo ra một giấy chứng nhận Khách hàng bên SSL cho mỗi người dùng hoặc máy khách hàng.		Krijo nje certifikate SSL ne ane te Klientit per cdo perdorues ose makineri klienti		Створити сертифікат SSL клієнта для кожного користувача або клієнтської машини.									dummy
1212	Create a client side SSL certificate for either a user or a client hostname.	Skapa klientcertifikat för antingen användare eller datornamn	Crear un certificado SSL del lado del cliente, ya sea para un usuario o un nombre de host cliente.	Crear un certificado SSL del cliente para usuario o nombre del invitado	Erstelle ein clientseitiges SSL-Zertifikat für entweder einen Benutzer oder einen Client-Hostname	Maak een SSL-clientcertificaat aan voor ofwel een gebruiker ofwel een clientcomputer.		Créer un certificat SSL côté client pour un utilisateur ou un nom d\'hôte client.			创建一个客户端证书或者用户或客户端的名称。	創建一個客戶端SSL證書用戶或客戶端主機名。	Создает сертификат SSL на стороне клиента либо для пользователя, либо для имени узла клиента.			Buat sertifikat SSL sisi klien baik untuk nama host klien atau pengguna.	Δημιουργία ενός πιστοποιητικού SSL από τη πλευρά του πελάτη, για κάθε χρήστη ή για κάθε όνομα μηχανής πελάτη.			Crie um certificado SSL do lado do cliente para um usuário ou um nome de host cliente.	إنشاء شهادة SSL من جانب العميل سواء لمستخدم أو لمضيف العميل.		Her bir kullanıcı veya her bir kullanıcı ev sahibi ismi için yeni bir müşteri SSL sertifikası oluştur			Crea un certificato SSL lato Client o per l\'utente o per l\'hostname client	एक उपयोगकर्ता या होस्ट नाम के लिए एक क्लाइंट साइड SSL प्रमाणपत्र बनाएं.		Tạo ra một giấy chứng nhận SSL phía khách hàng cho người sử dụng hoặc một khách hàng tên máy.				Створити сертифікат SSL клієнта або для користувача, або для імені клієнта.									dummy
1213	Create a new track																																									dummy
1214	Create an Event	Skapa en händelse	Crear un evento	Crear un evento	Ereignis erstellen	Maak gebeurtenis aan		Créer un événement	Créer un événement	Lag en ny Hendelse	创建活动	創造一個事件	Создать событие			Buat Event	Δημιουργία Συμβάντος		Criar um Evento	Criar um Evento	إنشاء حدث جديد	Opret en begivenhed	Bir Olay Oluştur	Utwórz wydarzenie		Crea un Evento	एक घटना बनाएँ		Tạo một sự kiện		Krijo nje Ngjarje	Vytvořit událost	Створити подію			ایجاد یک رویداد						dummy
1215	Create and download a full backup	Skapa och ladda ner en fullständig backup	Crear y descargar un respaldo completo	Crear y descargar un respaldo completo	Vollbackup erstellung und herunterladen	Maak en download een totale backup		Créer et télécharger une sauvegarde complète	Créer et télécharger une sauvegarde complète		创建和下载一个完整备份	創造並且下載一個完全備份	Создает и загружает полную резервную копию			Buat atau download backup/salinan lengkap	Δημιουργία και κατέβασμα πλήρους αντιγράφου ασφαλείας		Crie e carregue um auxílio cheio	Criar e fazer download de um backup completo	إنشاء وتنريل نسخة احتياطية كاملة	Opret og download fuld backup	Tam bir yedek oluştur ve indir	Utwórz i pobierz pełną kopię zapasową		Crea e scarica un backup completo	पूर्ण बैकअप बनाएँ और डाउनलोड करें		Tạo và tải về một bản sao lưu đầy đủ		Krijo dhe shkarko nje \"backup\" te plote 	Vytvořit a stáhnout kompletní zálohu	Створити і завантажити повну резервну копію			ایجاد و دانلود یک نسخه ی پشتیبان کامل						dummy
1216	Create and modify tracks																																									dummy
1217	Create Backup	Skapa beackup	Crear Respaldo	Crear Respaldo	Backup erstellen	Maak backup		Créer une sauvegarde	Créer une sauvegarde		创建备份	創造備份	Создать резервную копию			Buat Backup	Δημιουργία αντιγράφου ασφαλείας		Criar um Auxílio	Criar backup	إنشاء نسخة احتياطية	Opret backup	Yedek Oluştur	Utwórz kopię zapasową		Crea backup	बैकअप बनाएँ		Tạo sao lưu		Krijo Backup	Vytvořit zálohu	Створити резервну копію			ایجاد پشتیبان گیری						dummy
1218	Create batch	Skapa grupp	Crear batch	Crear batch (serie o lote)	Stapel erstellen	Maak verzameling		créer un lot	créer un lot		创建批量	創建批量	Создать партию			Buat batch	Δημιουργία δέσμης			Criar lote	إنشاء حزمة		Yığın dosyası oluştur.			Crea batch	बैच बनाएँ		Tạo hàng loạt		Krijo pakete	Vytvořit dávku	Створити партію									dummy
1219	Create Client Certificate	Skapa kientcertifikat	Crear Certificado de Cliente	Crear Certificado de Cliente	Client-Zertifikat erstellen	Maak een clientcertificaat aan		Créer un certificat client	Créer un certificat client		创建客户端证书	創造客户端憑證	Создать клиентский сертификат			Buat Sertifikat Klien	Δημιουργία Πιστοποιητικού Πελάτη			Criar Certificado de Cliente	إنشاء شهادة الزبون		Müşteri Sertifikası Oluştur	Utwórz certyfikat klienta		Crea Certificato Client	क्लाइंट प्रमाणपत्र बनाएं		Giấy chứng nhận Khách hàng		Krijo Certifikate Klienti	Vytvořit klientský certifikát	Створити клієнтський сертифікат									dummy
1220	Create Client side SSL certificates	Skapa klient SSL certifikat	Crear Certificados SSL del Cliente	Crear Certificados SSL del Cliente	Clientseitige SSL-Zertifikate erstellen	Maak een SSL-clientcertificaat aan		Créer des certificats SSL côté client	Créer des certificats SSL côté client		创建客户端SSL证书	創建客戶端SSL證書	Создает сертификаты SSL на стороне клиента.			Buat sertifikat SSL dari sisi Klien	Δημιουργία Πιστοποιητικών από την πλευρά του Πελάτη			Criar certificados SSL do lado do cliente	إنشاء شهادة أمن المتصفح		Müşteri tarafı sertifikaları oluştur	Utwórz certyfikat SSL dla klienta		Crea i certificati SSL lato Client	क्लाइंट साइड SSL प्रमाणपत्र बनाएं		Tạo Khách hàng bên SSL giấy chứng nhận		Krijo certifikate SSL ne ane te klientit		Створити сертифікати SSL на стороні клієнта.									dummy
1221	Create Duplicate	Skapa kopia	Crear Duplicado	Crear duplicado	Erzeuge Duplikat	Dupliceren		Créer un duplicata	Créer une duplicata		创建副本	創造複製品	Создать дубликат			Buat Duplikat	Δημιουργία αντιγράφου		Guardar Novo	Criar Duplicado	إنشاء نسخة مكررة	Opret kopi	Kopyasını Oluştur	Utwórz duplikat		Crea duplicato	डुप्लिकेट बनाएँ		Tạo Bản sao chép		Krijo Duplikim	Vytvořit kopii	Створити дублікат			ایجاد کپی						dummy
1222	Create Encounter																																									dummy
1223	Create Eventlog Backup	Skapa backup av händelselog	Crear backup de registro de eventos	Crear copia de seguridad de registro de eventos	Erzeuge Ereignis-Log Backup	Backup van gebeurtenislog aanmaken		Créer une sauvegarde du journal d\'événements	Créer une sauvegarde du journal d\'événements		创建事件日志备份	創造事件日誌備份	Создает журнал событий резервного копирования			Buat Backup Log Event	Δημιουργία αρχείου καταγραφής αντιγράφων ασφαλείας			Criar backup de log de eventos 	إنشاء نسخة إحتياطية من سجل اﻷحداث		Olay kaydının yedeğini oluştur			Crea backup Registro eventi	Eventlog बैकअप बनाएँ		Tạo bản Sao lưu Nhật ký sự kiện			Vytvořit zálohu protokolu událostí	Створити резервне копіювання журналу подій			تهیه نسخه پشتیبان از ثبت رویدادها						dummy
1224	Create new issue	Skapa ny aktivitet	Crear nueva incidencia	Crear nuevo asunto	Erzeuge neuen Fall	Nieuwe issue maken		Créer un nouveau problème	Créer un nouveau problème		创建新的问题	創造新的議題	Создать новую проблему			Buat Isu/Masalah Baru	Δημιουργία νέου θέματος			Criar uma nova questão	إنشاء قضية جديدة	Opret nyt emne	Yeni konu oluştur			Crea Nuova Tematica	नया मुद्दा बनाएं		Tạo vấn đề mới		Krijo ceshtje te re	Založit nový problém	Створити нову проблему			ایجاد مسئله جدید						dummy
